fold,train_best_threshold,train_best_accuracy,test_accuracy,usable_pairs,skipped_pairs
1,0.2430,0.9853,0.9783,599,1
2,0.2310,0.9847,0.9815,594,6
3,0.2430,0.9839,0.9900,600,0
4,0.2430,0.9838,0.9915,591,9
5,0.2430,0.9843,0.9866,597,3
6,0.2430,0.9845,0.9848,594,6
7,0.2430,0.9854,0.9766,598,2
8,0.2430,0.9851,0.9799,596,4
9,0.2430,0.9845,0.9849,595,5
10,0.2430,0.9840,0.9899,593,7

summary
mean_accuracy,0.9844
std_accuracy,0.0049
mean_threshold,0.2418
total_failed_images,27
total_unique_images,7701
total_skipped_pairs,43
